NCT Number,Study Results,Primary Completion Date,Results First Posted
NCT04391712,NO,2020-05-15,
NCT05444881,NO,2024-10-01,
NCT04388410,NO,2020-11-30,
NCT04389710,NO,2020-11-03,
NCT05113810,NO,2022-07-20,
NCT04480112,NO,2021-06-11,
NCT04996212,NO,2022-10-14,
NCT04654481,NO,2021-10-19,
NCT04452812,NO,2021-03-01,
NCT05405712,NO,2024-09,
NCT05197712,NO,2023-05-29,
NCT04526912,NO,2021-04-08,
NCT04720612,NO,2022-11-07,
NCT04403646,NO,2020-10-20,
NCT04273581,NO,2020-04-30,
NCT05231512,NO,2023-03-13,
NCT05747612,NO,2022-01-25,
NCT05023512,NO,2022-07-15,
NCT04603781,NO,2023-12-31,
NCT05502081,YES,2022-12-28,2022-08-18
NCT04328012,NO,2021-07-01,
NCT04602312,NO,2021-09-26,
NCT05012267,NO,2021-10-27,
NCT04773067,NO,2022-03-08,
NCT05212467,NO,2023-12-31,
NCT04676867,YES,2021-05-17,2022-08-31
NCT05621967,NO,2023-06-21,
NCT04355767,YES,2021-03-29,2021-10-13
NCT04720404,NO,2022-06-02,
NCT04681001,NO,2021-08-20,
NCT04570501,NO,2022-08,
NCT04608201,NO,2021-11-05,
NCT04584567,NO,2021-02-01,
NCT05601167,NO,2022-06-01,
NCT04492501,NO,2020-07-20,
NCT05540067,NO,2025-01-01,
NCT04530604,YES,2021-03-26,2022-06-28
NCT04391101,NO,2021-06,
NCT04486001,NO,2021-06-09,
NCT05752201,NO,2023-08-22,
NCT05705167,NO,2025-06,
NCT04604704,NO,2023-01-23,
NCT05210101,NO,2023-04-01,
NCT04389801,NO,2020-09-30,
NCT04424901,YES,2022-03-22,2023-02-24
NCT05121701,NO,2022-02-15,
NCT04475601,NO,2021-03-24,
NCT05585567,NO,2022-10-14,
NCT04991467,NO,2026-03-31,
NCT04507867,YES,2021-04-10,2021-09-22
NCT05182567,NO,2023-01-10,
NCT04476667,NO,2021-05-01,
NCT04396067,NO,2020-10,
NCT04535167,YES,2021-06-07,2022-06-06
NCT04792567,NO,2021-09-06,
NCT05928455,NO,2022-10-10,
NCT05119855,NO,2023-12-12,
NCT04456595,NO,2020-12-17,
NCT05044650,NO,2022-06,
NCT04723550,NO,2021-11-05,
NCT04900155,NO,2024-11,
NCT04623255,NO,2021-10-15,
NCT06214455,NO,2024-11-30,
NCT04326114,NO,2020-12-15,
NCT05142514,NO,2021-12-27,
NCT04886414,NO,2023-01-31,
NCT04878055,NO,2021-09-30,
NCT04912895,YES,2022-08-05,2023-08-01
NCT05216614,NO,2022-02-22,
NCT04673214,YES,2021-02-25,2021-03-08
NCT04625114,NO,2022-10-01,
NCT05853055,NO,2024-04,
NCT05017714,NO,2022-04-30,
NCT05542095,NO,2023-05-01,
NCT04371523,NO,2020-07-31,
NCT05043623,NO,2022-01-26,
NCT05855395,NO,2024-05-01,
NCT04838795,NO,2022-03-31,
NCT04445623,NO,2020-10,
NCT04917523,NO,2022-03-31,
NCT05156723,NO,2021-08-30,
NCT05769023,NO,2026-01-01,
NCT05158855,NO,2022-04-20,
NCT05197114,NO,2022-03-25,
NCT05054114,NO,2021-05-25,
NCT04412395,NO,2022-08-01,
NCT05576623,NO,2023-12,
NCT05032950,YES,2021-12-09,2022-12-01
NCT06141850,NO,2024-12,
NCT04598581,NO,2021-04-09,
NCT05153044,NO,2022-09-10,
NCT04487444,NO,2023-02-03,
NCT04954092,NO,2022-11-06,
NCT05639192,NO,2023-08-18,
NCT04373044,NO,2021-05-12,
NCT04776044,NO,2022-06-06,
NCT05903144,NO,2022-09-30,
NCT05298644,NO,2023-07-31,
NCT04705844,NO,2022-09,
NCT05715944,NO,2022-12-30,
NCT04318444,NO,2021-03,
NCT05232292,NO,2022-12-31,
NCT05926544,NO,2025-02-01,
NCT04712344,NO,2021-09,
NCT04344444,NO,2021-04-10,
NCT04401644,NO,2021-12,
NCT06229444,NO,2024-06,
NCT04410692,NO,2020-05-16,
NCT04554992,NO,2022-06,
NCT06181292,NO,2024-06-01,
NCT04942392,NO,2020-12-03,
NCT04761692,NO,2026-10-31,
NCT06142292,NO,2024-12-15,
NCT04393792,NO,2022-03,
NCT05778344,NO,2023-12,
NCT04847544,NO,2021-10-15,
NCT04840992,NO,2022-07-08,
NCT05047692,NO,2022-12-02,
NCT05293392,YES,2022-05-20,2023-07-25
NCT05055492,NO,2021-11-01,
NCT05398692,NO,2025-02-02,
NCT05028244,NO,2021-12,
NCT04349592,NO,2020-08-14,
NCT05977192,NO,2023-12-31,
NCT04340544,NO,2020-10-12,
NCT04486144,NO,2020-07-23,
NCT04565392,NO,2021-11-01,
NCT05366192,NO,2022-06-06,
NCT06282692,NO,2024-05-19,
NCT04785144,YES,2022-07-05,2023-06-22
NCT06113744,NO,2023-06-30,
NCT04402944,NO,2021-12-31,
NCT04869592,NO,2023-03,
NCT04743401,NO,2023-12-31,
NCT05415267,NO,2025-12-31,
NCT04627467,NO,2020-07-09,
NCT04703140,NO,2021-05-04,
NCT04479540,NO,2022-02-26,
NCT05107440,NO,2022-06-20,
NCT05925140,NO,2024-12-30,
NCT06161740,NO,2022-09-20,
NCT05679440,NO,2024-01-10,
NCT06142240,NO,2025-04-01,
NCT04708340,NO,2022-10,
NCT04904744,NO,2021-10-31,
NCT05670444,NO,2023-02-28,
NCT04405544,NO,2020-07-22,
NCT05713292,NO,2023-03-02,
NCT04378244,NO,2023-12-12,
NCT05449392,NO,2023-09-22,
NCT05184192,NO,2024-02,
NCT04674644,YES,2020-10-23,2021-01-02
NCT06055244,NO,2025-04-15,
NCT05216640,NO,2023-03,
NCT04476940,NO,2023-10-31,
NCT04770740,NO,2022-03-01,
NCT04900467,NO,2021-07-02,
NCT05077267,NO,2022-02-02,
NCT04328467,YES,2020-07-13,2021-06-25
NCT04685512,NO,2021-04-01,
NCT04334967,NO,2021-05-27,
NCT04751604,NO,2022-07-27,
NCT05848401,NO,2022-01-05,
NCT04798001,NO,2022-10-31,
NCT05715801,NO,2024-01-31,
NCT04428801,NO,2024-09,
NCT04502667,NO,2021-03-31,
NCT05996744,NO,2027-06,
NCT05080244,NO,2022-12-04,
NCT05075044,NO,2022-12-30,
NCT04582344,NO,2022-06-30,
NCT04990544,NO,2022-04-22,
NCT04583592,YES,2021-03-31,2021-12-14
NCT04343092,YES,2020-05-31,2020-06-11
NCT05003492,NO,2021-10,
NCT04704544,NO,2023-11-30,
NCT04361344,NO,2020-10-25,
NCT04426292,NO,2021-12-23,
NCT04805892,YES,2022-02-23,2023-02-25
NCT05451589,NO,2025-11,
NCT04842292,YES,2021-09-04,2022-09-21
NCT05017792,NO,2022-09-30,
NCT04395144,NO,2021-03-15,
NCT04322344,NO,2020-06-30,
NCT05435144,NO,2023-03-28,
NCT05721144,NO,2024-03-31,
NCT05530044,NO,2022-12-20,
NCT04334044,NO,2021-04-12,
NCT05492292,NO,2023-12-31,
NCT04371640,NO,2021-07-30,
NCT04957940,NO,2021-09-20,
NCT04346940,NO,2020-10-10,
NCT04998240,NO,2022-09-26,
NCT05572840,NO,2023-03-10,
NCT05926440,NO,2023-08-17,
NCT04376840,NO,2022-01-28,
NCT04491240,YES,2020-10-01,2020-10-21
NCT04896840,NO,2021-10-27,
NCT05775887,NO,2023-06-02,
NCT04408287,NO,2022-12-28,
NCT04315987,NO,2021-02-28,
NCT04871633,NO,2020-11-15,
NCT04355533,NO,2022-05-20,
NCT04678687,NO,2021-06-01,
NCT04344587,NO,2021-05-07,
NCT04497987,YES,2021-01-16,2022-01-11
NCT04468087,NO,2021-08-04,
NCT05112887,NO,2021-09-13,
NCT05911087,NO,2023-07-31,
NCT04666233,NO,2021-03-23,
NCT04956887,NO,2024-01-31,
NCT05019287,NO,2021-05-21,
NCT04374487,NO,2021-08-09,
NCT04651387,NO,2021-12,
NCT04435587,NO,2021-06,
NCT05970887,NO,2022-12-30,
NCT04432987,NO,2020-08-25,
NCT05518487,NO,2025-02,
NCT04653831,NO,2022-12-31,
NCT04427631,NO,2021-01-01,
NCT04350931,NO,2020-10-01,
NCT04816682,NO,2021-06-30,
NCT04644120,NO,2021-08-24,
NCT05080920,NO,2022-09-30,
NCT05171920,NO,2022-07,
NCT04479631,NO,2021-01-29,
NCT04988282,NO,2021-12-31,
NCT04365582,NO,2020-12-31,
NCT04424082,NO,2020-06-25,
NCT04356482,NO,2020-11,
NCT04420182,NO,2022-02-04,
NCT04463420,NO,2020-11-15,
NCT04636320,NO,2022-04-04,
NCT04384731,NO,2021-05-29,
NCT04990531,NO,2021-12-29,
NCT05752331,NO,2023-05-31,
NCT04372082,NO,2023-05,
NCT05057182,NO,2024-03-31,
NCT04940182,NO,2022-08-26,
NCT04400682,YES,2020-06-05,2020-06-21
NCT04394182,NO,2020-12-31,
NCT05633420,NO,2022-09-06,
NCT04800120,NO,2022-03-01,
NCT04425031,NO,2023-03-08,
NCT05323331,NO,2022-10-01,
NCT05164731,NO,2022-08-30,
NCT04365231,NO,2020-06-01,
NCT04927182,NO,2021-09-30,
NCT04342182,NO,2020-07-01,
NCT04840082,NO,2021-03-08,
NCT04718220,NO,2024-08,
NCT05358873,NO,2022-07-01,
NCT04382131,NO,2020-10-31,
NCT04366882,NO,2020-12-31,
NCT04247620,NO,2024-06-30,
NCT04805931,NO,2021-05-01,
NCT04705831,NO,2022-01,
NCT05539482,NO,2024-10,
NCT05556720,NO,2024-02-28,
NCT04475120,NO,2020-07-02,
NCT04418531,NO,2022-09-21,
NCT04560231,NO,2020-11-30,
NCT04471831,NO,2021-06-21,
NCT05050682,NO,2021-12-10,
NCT05150782,NO,2022-10-10,
NCT04895982,NO,2023-07-23,
NCT05155982,NO,2023-06,
NCT04707820,NO,2021-06-10,
NCT04369820,NO,2020-09-30,
NCT04875520,NO,2023-05-31,
NCT04519320,NO,2021-08-18,
NCT04453774,NO,2022-07-01,
NCT04379531,NO,2020-05-22,
NCT04323631,NO,2020-04-30,
NCT04919031,NO,2022-11-23,
NCT04470531,NO,2020-10-12,
NCT04347031,NO,2020-11-01,
NCT04373382,NO,2022-05-16,
NCT05043220,NO,2022-06-30,
NCT04523831,YES,2020-08-22,2020-09-30
NCT04532931,NO,2021-08-05,
NCT04318431,NO,2020-05-12,
NCT05435482,NO,2023-04-30,
NCT04459520,NO,2020-07-28,
NCT04858620,NO,2021-08-30,
NCT04907942,NO,2020-12-18,
NCT04369742,YES,2021-04-01,2022-03-31
NCT04393818,NO,2020-08-24,
NCT04967742,NO,2021-08-22,
NCT05697042,NO,2023-12-30,
NCT05593042,NO,2023-10-26,
NCT05338749,NO,2024-06,
NCT05531149,NO,2025-08-31,
NCT04732819,YES,2021-03-31,2021-07-22
NCT04345419,NO,2020-12-01,
NCT05822219,NO,2026-03-31,
NCT04632719,NO,2020-12-29,
NCT04635618,NO,2021-07-13,
NCT05449418,NO,2023-12-31,
NCT04385017,NO,2022-02-01,
NCT04356534,NO,2020-06-15,
NCT04331470,NO,2020-04-20,
NCT04493359,NO,2021-09-28,
NCT05064800,NO,2021-12-06,
NCT05024500,NO,2021-07-11,
NCT04488575,YES,2021-05-16,2022-07-22
NCT04913675,YES,2022-07-19,2022-11-08
NCT04681859,NO,2021-07-09,
NCT05736900,NO,2021-02-09,
NCT04581200,YES,2022-03-30,2023-03-21
NCT04602000,YES,2021-05-21,2022-05-10
NCT05129475,YES,2022-01-12,2022-12-02
NCT04841759,NO,2021-12-03,
NCT04784559,NO,2023-03-01,
NCT04854759,NO,2022-03-31,
NCT05151900,NO,2023-05,
NCT04803370,NO,2021-09-01,
NCT05674370,NO,2023-04-30,
NCT04892459,NO,2021-07-25,
NCT04840459,NO,2022-12-31,
NCT04395170,NO,2020-12,
NCT04896970,NO,2021-07,
NCT04341870,NO,2020-05-08,
NCT04435275,NO,2021-03-31,
NCT05205759,NO,2022-02-05,
NCT04772859,NO,2021-07-16,
NCT04978259,NO,2023-02-28,
NCT05630300,NO,2023-08-30,
NCT05676970,NO,2028-12-01,
NCT04634370,NO,2021-03-30,
NCT04444700,NO,2021-05-10,
NCT04621149,NO,2022-03-31,
NCT05658549,NO,2021-07-30,
NCT05152849,NO,2022-06-21,
NCT05238649,NO,2022-11-30,
NCT05073718,NO,2023-09-01,
NCT05914649,NO,2026-12-31,
NCT05231018,NO,2020-12-01,
NCT04473170,NO,2020-05-20,
NCT04930770,NO,2021-12-01,
NCT04373200,NO,2021-03-09,
NCT04409834,YES,2022-03-10,2023-05-18
NCT04526717,NO,2022-12,
NCT04597034,NO,2021-12-30,
NCT05689034,NO,2023-12-31,
NCT04424134,NO,2020-07-18,
NCT04383717,NO,2020-08-30,
NCT04365517,NO,2022-03-30,
NCT04707534,NO,2021-12-31,
NCT04828434,NO,2023-04-01,
NCT04647734,NO,2022-02-01,
NCT04405934,NO,2021-04-26,
NCT04988217,NO,2022-04-15,
NCT05077917,NO,2024-06,
NCT05833217,NO,2025-05-02,
NCT04346017,NO,2020-11-23,
NCT04618042,NO,2021-05-14,
NCT04477642,NO,2020-10,
NCT05195242,NO,2021-06-20,
NCT04412486,NO,2023-03-23,
NCT04649086,NO,2022-01-07,
NCT05682586,NO,2023-03-31,
NCT04374786,NO,2020-09-01,
NCT04569786,YES,2021-02-18,2021-12-22
NCT04675086,NO,2021-09,
NCT04372186,YES,2020-08-18,2021-08-04
NCT04461925,NO,2021-05-02,
NCT05009186,NO,2021-10-01,
NCT04521400,NO,2020-09-04,
NCT06255600,NO,2024-06-28,
NCT04514900,NO,2021-03-08,
NCT04781400,NO,2022-05-13,
NCT05258500,NO,2023-03,
NCT04490200,NO,2023-04-30,
NCT04381000,NO,2020-05-29,
NCT04591600,NO,2020-09-30,
NCT04573270,NO,2020-08-20,
NCT05629975,NO,2022-12-30,
NCT05243875,NO,2024-03-31,
NCT04537975,NO,2020-11-15,
NCT04788459,NO,2021-12-07,
NCT06032000,NO,2024-03,
NCT05007275,NO,2024-06,
NCT05787275,NO,2023-02-02,
NCT05802875,NO,2025-01-01,
NCT04870775,NO,2021-10-10,
NCT04771559,NO,2021-06-01,
NCT04516759,YES,2021-04-25,2022-04-12
NCT04417270,NO,2020-11-30,
NCT05236270,NO,2023-07,
NCT04492475,YES,2020-12-21,2021-10-28
NCT05109559,NO,2023-12,
NCT04410159,YES,2020-06-29,2020-07-08
NCT05533359,NO,2023-11-30,
NCT04648800,NO,2020-12,
NCT04992000,NO,2020-09-01,
NCT05047900,NO,2022-12-31,
NCT04331600,NO,2020-12-17,
NCT04323800,YES,2021-04-22,2022-04-20
NCT04830800,NO,2021-08-23,
NCT05083000,NO,2021-12-31,
NCT04330300,NO,2021-07-31,
NCT05683600,NO,2023-07-12,
NCT04961359,NO,2021-12-12,
NCT04354259,NO,2022-08-19,
NCT04780659,NO,2024-03-31,
NCT04368000,NO,2020-08-06,
NCT05168800,NO,2023-02-20,
NCT04513470,NO,2021-01,
NCT04475575,NO,2020-06-30,
NCT04738175,NO,2021-11,
NCT05218070,NO,2022-10,
NCT04341675,NO,2020-07,
NCT04508075,NO,2021-01-09,
NCT04750759,NO,2021-10-29,
NCT05043259,NO,2022-08-13,
NCT04352959,NO,2020-12-11,
NCT04818970,NO,2021-10-31,
NCT05037175,NO,2025-06-01,
NCT05317975,NO,2024-07,
NCT04453475,NO,2022-12-31,
NCT05212675,NO,2021-06-01,
NCT05489770,NO,2022-05-16,
NCT04539275,YES,2021-06-30,2022-06-24
NCT05453175,NO,2024-06-01,
NCT04483375,NO,2020-11-17,
NCT04472559,NO,2022-06-24,
NCT04723459,NO,2021-02-19,
NCT04405570,YES,2021-02-21,2022-01-18
NCT04677270,NO,2020-11-30,
NCT04348370,NO,2023-05,
NCT04354870,YES,2020-09-15,2021-09-29
NCT04379375,NO,2020-09-30,
NCT05299359,YES,2022-06-11,2023-06-06
NCT04362059,NO,2022-11-30,
NCT05580159,NO,2023-05-11,
NCT05246059,NO,2021-08-08,
NCT05005559,NO,2022-03-10,
NCT04530370,NO,2020-09,
NCT05047770,YES,2022-08-29,2023-08-28
NCT04437875,NO,2020-08-03,
NCT04872075,NO,2021-06-13,
NCT04852770,NO,2021-09-30,
NCT04982770,NO,2022-10,
NCT05276375,NO,2022-10-31,
NCT05381675,NO,2023-05-20,
NCT04363775,NO,2020-02-23,
NCT05054075,NO,2022-10,
NCT04615975,NO,2021-07-30,
NCT05227170,NO,2025-03-31,
NCT04813770,NO,2021-04-26,
NCT04438070,NO,2020-06,
NCT05075070,NO,2022-06-30,
NCT05371275,NO,2022-10,
NCT04627675,NO,2021-03-11,
NCT05694975,NO,2023-04,
NCT04363749,NO,2021-01-11,
NCT04873349,NO,2022-03-01,
NCT04637906,NO,2021-04-18,
NCT04689542,NO,2021-04-02,
NCT04374149,YES,2020-09-30,2021-11-19
NCT04718506,NO,2022-02-06,
NCT05364242,NO,2022-09-22,
NCT05223842,NO,2023-01-20,
NCT04385849,NO,2022-07-11,
NCT04426006,YES,2021-01-26,2022-06-24
NCT05770206,NO,2024-12-31,
NCT04325906,YES,2021-01-26,2022-02-02
NCT04862806,NO,2021-09,
NCT06253806,NO,2024-12,
NCT05178199,NO,2022-08,
NCT04452799,NO,2020-10-01,
NCT04473599,NO,2022-07-25,
NCT05175742,NO,2023-03-29,
NCT04384549,NO,2021-02-20,
NCT05077306,NO,2021-05-15,
NCT04758299,NO,2021-04-15,
NCT04603742,NO,2022-06,
NCT04745442,NO,2020-12-20,
NCT04673149,NO,2022-11-30,
NCT04847349,NO,2021-11-01,
NCT04480606,NO,2020-11-20,
NCT04425499,NO,2020-06,
NCT05248399,YES,2022-06-28,2023-06-27
NCT04470999,NO,2023-09-30,
NCT04428099,NO,2022-01-12,
NCT04979949,NO,2022-03-09,
NCT04951349,NO,2021-05-30,
NCT04358406,YES,2021-05-25,2022-05-04
NCT04346199,YES,2020-11-17,2021-09-08
NCT05682599,NO,2023-04-15,
NCT05543642,NO,2025-01-01,
NCT04816942,NO,2020-07-21,
NCT05813899,NO,2026-01-15,
NCT05741099,NO,2024-01,
NCT04368299,NO,2022-01-17,
NCT04495842,NO,2021-12-31,
NCT04858542,NO,2021-05-01,
NCT06178952,NO,2026-01,
NCT05079152,NO,2021-05-29,
NCT04817332,YES,2021-02-28,2023-02-20
NCT04723537,NO,2023-12,
NCT05792852,NO,2023-10-31,
NCT04362332,NO,2020-06-08,
NCT04425837,NO,2021-02,
NCT04821037,NO,2021-07-01,
NCT05567952,NO,2023-09-27,
NCT05459532,NO,2024-07,
NCT06168032,NO,2026-12-08,
NCT05077332,NO,2025-01,
NCT04715932,YES,2021-05-25,2022-02-22
NCT04849637,NO,2022-04-09,
NCT04359537,NO,2020-08-25,
NCT04374552,NO,2020-11,
NCT06048432,NO,2021-01-31,
NCT04361032,NO,2020-09-04,
NCT04438837,NO,2022-06,
NCT04456452,NO,2020-09-08,
NCT04527432,NO,2023-10-27,
NCT04747132,NO,2020-10-20,
NCT04377737,NO,2020-08,
NCT05156632,NO,2023-02-20,
NCT04483752,NO,2021-12-24,
NCT04386252,NO,2023-06,
NCT04622332,NO,2021-11-27,
NCT05419232,NO,2023-12-31,
NCT04427137,NO,2022-01-09,
NCT04945837,NO,2024-01,
NCT04890652,NO,2023-08-23,
NCT05739552,NO,2023-07-31,
NCT05492552,NO,2023-05-11,
NCT05901337,NO,2022-06-21,
NCT05411575,NO,2022-10,
NCT04360759,NO,2021-05-30,
NCT05213000,NO,2025-09-30,
NCT05764070,NO,2023-03-09,
NCT04797975,NO,2021-04,
NCT04326075,NO,2021-06-30,
NCT04361942,NO,2021-10-28,
NCT05731570,NO,2024-01,
NCT06055270,NO,2025-12-24,
NCT05520970,NO,2022-11-08,
NCT05938075,NO,2024-05-10,
NCT04771000,NO,2023-02-27,
NCT05642000,NO,2022-12-17,
NCT05112900,NO,2023-07-31,
NCT04535700,NO,2021-11-19,
NCT04811859,NO,2022-01-10,
NCT04344600,YES,2021-09-24,2022-06-01
NCT05659459,NO,2025-05-31,
NCT04599959,YES,2021-01-20,2021-07-21
NCT05180500,YES,2022-12-07,2023-11-28
NCT05409300,NO,2023-08,
NCT04690400,NO,2021-12-30,
NCT05218200,NO,2022-12-15,
NCT04403100,NO,2021-02-01,
NCT04639375,NO,2021-06-12,
NCT04545242,NO,2024-12-30,
NCT05359770,NO,2022-08-20,
NCT05684575,NO,2023-04-25,
NCT04964570,NO,2021-12-25,
NCT04359875,NO,2020-06-30,
NCT04765475,NO,2021-11-18,
NCT04527575,NO,2021-12-30,
NCT04834375,YES,2022-01-25,2023-03-06
NCT04649775,YES,2021-11-08,2022-10-31
NCT05593770,NO,2024-02,
NCT04597775,NO,2021-01-15,
NCT05752175,NO,2023-05,
NCT04466670,NO,2021-12-30,
NCT04401475,NO,2024-12,
NCT04847375,NO,2021-07-20,
NCT05710770,NO,2024-12,
NCT05619770,NO,2022-11-03,
NCT04813575,NO,2022-04-01,
NCT04386070,NO,2022-05-30,
NCT05239975,NO,2022-07-01,
NCT04566770,NO,2021-09-21,
NCT04443270,NO,2020-10-31,
NCT06004375,NO,2023-05-30,
NCT05018975,NO,2023-09-21,
NCT05965752,NO,2024-10,
NCT04453852,NO,2021-02-01,
NCT05677932,NO,2024-02-28,
NCT04441632,NO,2020-07-26,
NCT04323332,NO,2020-03,
NCT05009732,NO,2023-02-06,
NCT04504032,YES,2021-03-10,2021-09-29
NCT05780437,NO,2022-01-28,
NCT04360837,NO,2020-07-01,
NCT04584437,NO,2022-05-10,
NCT04362137,YES,2020-10-17,2021-04-15
NCT04516837,NO,2021-08,
NCT05239832,NO,2021-09-29,
NCT04899232,YES,2022-03-31,2022-07-15
NCT04760132,NO,2024-12-31,
NCT05826132,NO,2023-08-01,
NCT04500132,NO,2021-02-04,
NCT04442152,NO,2020-09-04,
NCT05165732,NO,2023-03-20,
NCT06204432,NO,2024-12,
NCT05664932,NO,2023-01-18,
NCT04392232,NO,2021-09-21,
NCT05289037,NO,2023-11-10,
NCT04340232,NO,2021-08,
NCT04479332,NO,2021-02-23,
NCT05840952,NO,2024-04-30,
NCT05532852,NO,2023-06,
NCT04361552,NO,2020-06-02,
NCT05817032,NO,2023-10,
NCT05430152,NO,2024-12,
NCT04524052,NO,2020-12,
NCT04329832,YES,2020-07-01,2022-03-14
NCT05148832,NO,2021-08-20,
NCT05585632,NO,2024-02-14,
NCT04390152,NO,2021-12,
NCT04371952,NO,2021-02-01,
NCT04333732,NO,2021-08-10,
NCT05163652,NO,2022-08-30,
NCT05279352,NO,2022-06-15,
NCT06082518,NO,2025-12-30,
NCT04555213,NO,2021-08-10,
NCT05069636,NO,2023-02-28,
NCT04499313,NO,2020-11-15,
NCT05793736,NO,2024-03-30,
NCT04449718,NO,2020-10-07,
NCT04416113,NO,2021-12,
NCT04771013,YES,2021-05-14,2022-01-13
NCT05298813,NO,2023-01-04,
NCT05252936,NO,2022-04-04,
NCT04909918,NO,2021-08-15,
NCT05445518,NO,2026-08,
NCT05180513,NO,2024-04-01,
NCT04383613,NO,2021-06-01,
NCT04486313,NO,2021-02-08,
NCT04337918,NO,2021-01-31,
NCT05311813,NO,2021-12-01,
NCT05150613,NO,2022-08-01,
NCT05387213,NO,2021-11-01,
NCT05049213,NO,2022-08-01,
NCT05288218,NO,2024-06,
NCT04581018,NO,2021-12-31,
NCT05153018,NO,2023-04-01,
NCT04404218,NO,2022-06-15,
NCT05047718,NO,2022-08-29,
NCT04860518,YES,2022-04-04,2022-09-12
NCT05506618,NO,2022-10-04,
NCT04412018,NO,2020-11-06,
NCT05212818,NO,2023-02-03,
NCT05533918,NO,2023-11-30,
NCT04707833,NO,2023-12-01,
NCT04690387,NO,2021-01-13,
NCT05813587,NO,2023-09-06,
NCT05677087,NO,2023-04-30,
NCT04442087,NO,2021-04-30,
NCT04870333,NO,2023-07,
NCT04982887,NO,2022-03-25,
NCT05684887,NO,2023-03-31,
NCT05736887,NO,2023-01-16,
NCT05453487,NO,2022-10-30,
NCT04383587,YES,2020-07-01,2022-02-23
NCT04658433,NO,2021-12-20,
NCT05074433,YES,2022-05-18,2023-05-16
NCT05079633,NO,2021-12,
NCT05012787,NO,2022-03-30,
NCT04482387,NO,2021-07-01,
NCT05722652,NO,2024-08,
NCT05967052,NO,2028-03-01,
NCT05603052,NO,2024-06-30,
NCT05684952,NO,2024-01-15,
NCT04355052,NO,2020-10-11,
NCT04794400,NO,2021-03-31,
NCT05311852,NO,2022-02-15,
NCT04351152,NO,2021-03,
NCT04326452,NO,2021-03-27,
NCT05047952,NO,2023-02-22,
NCT04399252,NO,2021-07-08,
NCT05571852,NO,2022-02-28,
NCT05298800,NO,2022-12-31,
NCT04782700,NO,2021-06-08,
NCT06012552,NO,2027-04-30,
NCT04335552,YES,2020-06-17,2021-05-03
NCT04615052,NO,2022-09-30,
NCT05158842,NO,2022-02-17,
NCT04707742,NO,2021-09-18,
NCT04933799,NO,2022-03-06,
NCT04493242,YES,2021-05-01,2023-02-13
NCT04742842,NO,2022-07-30,
NCT04394442,NO,2020-08,
NCT04525742,NO,2020-08-30,
NCT05517642,NO,2023-05-02,
NCT04331899,YES,2020-08-14,2021-04-08
NCT04880642,YES,2022-04-25,2023-08-23
NCT04839042,NO,2023-12-31,
NCT05205642,NO,2023-12-31,
NCT05582642,NO,2023-04-01,
NCT04498442,NO,2020-10-22,
NCT05058742,NO,2022-11-30,
NCT05413642,NO,2024-02-06,
NCT05511142,NO,2022-06-30,
NCT04920942,NO,2021-10-31,
NCT04910542,NO,2022-11-12,
NCT04803409,NO,2021-12-15,
NCT04590209,NO,2023-03,
NCT04602507,NO,2021-12-09,
NCT04399109,NO,2021-05-19,
NCT04885907,NO,2021-07-30,
NCT04568707,NO,2022-12-14,
NCT04606407,NO,2022-08-07,
NCT04844307,NO,2022-02,
NCT06084507,NO,2023-05-23,
NCT05000307,NO,2021-01-27,
NCT04960215,NO,2022-02-10,
NCT05897515,NO,2023-09-15,
NCT04455815,YES,2021-11-29,2023-01-05
NCT04524715,NO,2022-03-31,
NCT04344015,NO,2020-06-02,
NCT04346615,NO,2022-03-11,
NCT04392115,NO,2020-12-15,
NCT04652115,NO,2024-05-01,
NCT04516915,NO,2022-05-20,
NCT04935515,NO,2021-05-09,
NCT05441215,NO,2023-12-15,
NCT05308615,NO,2022-03-17,
NCT04347915,NO,2021-02-24,
NCT04376515,NO,2022-12-18,
NCT04932915,NO,2022-01-10,
NCT04591015,YES,2022-08-31,2023-08-30
NCT06052436,NO,2027-12-31,
NCT05473936,NO,2023-03,
NCT04649736,NO,2021-06-19,
NCT04381936,NO,2026-06-30,
NCT04350736,NO,2020-06-24,
NCT04410536,NO,2021-12,
NCT04335136,YES,2020-12-26,2021-06-07
NCT04597736,NO,2021-11,
NCT04589936,NO,2021-06-30,
NCT06237049,NO,2024-09-05,
NCT04426318,YES,2021-01-12,2022-01-26
NCT05080218,NO,2024-02-29,
NCT05137418,NO,2023-01-27,
NCT05184218,NO,2022-05-06,
NCT05592418,NO,2023-11-17,
NCT04467918,NO,2021-11-16,
NCT04782336,NO,2024-06-30,
NCT04973449,NO,2022-02-04,
NCT04615949,NO,2022-11-30,
NCT04410549,NO,2021-09-30,
NCT04363736,YES,2020-08-12,2021-07-30
NCT04457349,NO,2020-12-29,
NCT05038449,NO,2023-06-01,
NCT04592549,NO,2023-10-06,
NCT05216549,NO,2022-06-05,
NCT04393415,NO,2020-08-25,
NCT06076109,NO,2022-03-31,
NCT05743309,NO,2021-06-15,
NCT04425707,NO,2020-07-01,
NCT04865107,NO,2022-04,
NCT05247307,NO,2021-12-31,
NCT04338009,YES,2020-08-20,2021-01-28
NCT05041907,NO,2027-01,
NCT04978207,NO,2022-12-31,
NCT04320615,YES,2020-06-24,2021-06-23
NCT04318015,NO,2020-12-31,
