NCT Number,Study Results,Primary Completion Date,Results First Posted
NCT05526235,NO,2023-09,
NCT04988035,YES,2022-04-23,2023-04-13
NCT04916886,NO,2022-07-31,
NCT05866263,NO,2022-01-03,
NCT04592835,NO,2020-12-13,
NCT05082935,NO,2023-04-30,
NCT05805163,NO,2024-04,
NCT05009563,NO,2022-01-04,
NCT05534035,NO,2023-04-30,
NCT05118763,NO,2022-12-31,
NCT05780463,YES,2022-02-23,2024-01-09
NCT05343663,NO,2022-07-01,
NCT05743335,NO,2024-09-06,
NCT05031858,NO,2021-12-20,
NCT05430958,NO,2024-03,
NCT04381858,NO,2020-11-26,
NCT04383535,NO,2020-09-27,
NCT04338958,NO,2021-07-15,
NCT05208996,NO,2021-03-26,
NCT04382586,YES,2021-02-01,2022-01-31
NCT04723563,NO,2021-08-23,
NCT04273763,NO,2020-05-10,
NCT04606563,NO,2022-04-22,
NCT04828135,NO,2023-04-20,
NCT05309486,NO,2022-05-21,
NCT04330586,NO,2021-03-31,
NCT04385186,NO,2020-11-30,
NCT04370886,NO,2020-04-30,
NCT05126563,NO,2024-03,
NCT05476835,NO,2022-05-15,
NCT04358835,NO,2021-09-01,
NCT04602286,NO,2021-09-28,
NCT04726163,NO,2022-02-18,
NCT04524663,YES,2021-05-15,2022-05-13
NCT04409886,YES,2021-01-31,2021-05-25
NCT04558463,NO,2020-09-30,
NCT04711863,NO,2021-05-31,
NCT04568863,NO,2020-11-30,
NCT04483635,NO,2021-05-04,
NCT04561063,NO,2022-02-28,
NCT04452435,YES,2020-10-13,2021-03-24
NCT04341935,NO,2021-12-30,
NCT05220163,NO,2025-01,
NCT04363463,NO,2022-01-13,
NCT04822025,NO,2021-08-25,
NCT05087186,NO,2023-09,
NCT04613986,NO,2021-12,
NCT04490486,NO,2024-06-01,
NCT05442684,NO,2023-03-30,
NCT04903184,NO,2021-11-11,
NCT06091384,NO,2024-09-30,
NCT05310084,YES,2022-10-05,2023-10-04
NCT05677984,NO,2023-04-30,
NCT05108584,NO,2022-01-04,
NCT04891302,NO,2021-07-05,
NCT05930002,NO,2022-09-09,
NCT04469621,NO,2020-10-23,
NCT04558021,NO,2021-01-30,
NCT05057221,YES,2022-03-09,2023-02-25
NCT05539664,NO,2022-12-30,
NCT04348864,NO,2022-04,
NCT04473690,NO,2022-05-31,
NCT04651790,NO,2022-08-01,
NCT04374903,NO,2022-04-01,
NCT04343690,NO,2020-05-01,
NCT04942990,NO,2021-06-21,
NCT04949490,NO,2022-04-14,
NCT04326790,NO,2020-04-27,
NCT05507190,NO,2023-12-30,
NCT04513990,NO,2023-04-30,
NCT04357990,NO,2020-10-30,
NCT04621903,NO,2020-10-27,
NCT05193903,NO,2023-01-31,
NCT05689203,NO,2023-02-01,
NCT04534790,NO,2020-12-12,
NCT04460690,YES,2021-03-31,2021-12-23
NCT04685603,NO,2021-01-31,
NCT05897203,NO,2024-01,
NCT04796064,NO,2020-11-05,
NCT05472090,NO,2023-07-12,
NCT04603690,NO,2022-01-31,
NCT05178290,NO,2023-05,
NCT05690503,NO,2023-12-31,
NCT05582603,NO,2022-11-30,
NCT04378803,NO,2020-08-04,
NCT04352803,NO,2024-04,
NCT04634903,YES,2021-03-15,2021-05-18
NCT04516564,NO,2021-03-04,
NCT04885764,NO,2021-10-01,
NCT04463264,NO,2020-11-15,
NCT04575064,NO,2022-03,
NCT04402203,NO,2020-07,
NCT04974203,NO,2021-08,
NCT04868903,NO,2024-01-30,
NCT04972864,NO,2021-07-18,
NCT04646590,NO,2021-11-28,
NCT05358990,NO,2022-10-25,
NCT05459103,NO,2022-01-30,
NCT05580003,NO,2023-09-15,
